department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,session_id,program_order,program_order,age_min,age_max,trophy
Equine,English Riding,Senior,Hunt Seat,c1098,,TRUE,,Senior Champion Hunt Seat Equitation,,equine4,Wednesday,7,,,
Equine,English Riding,Senior,Saddle Seat,c1100,1100,,,Saddle Seat Pleasure Horses and Ponies,,equine4,Wednesday,8,14,20,
Equine,English Riding,Senior,Hunt Seat,c1102,1102,,,"Hunt Seat, Pleasure Horses and Ponies",,equine4,Wednesday,9,14,15,
Equine,English Riding,Senior,Hunt Seat,c1103,1103,,,"Hunt Seat, Pleasure Horses and Ponies",,equine4,Wednesday,10,16,17,
Equine,English Riding,Senior,Hunt Seat,c1104,1104,,,"Hunt Seat, Pleasure Horses and Ponies",,equine4,Wednesday,11,18,20,
Equine,English Riding,Senior,Walk/Trot,c1105,1105,,,"English Pleasure, Horses and Ponies, Walk/Trot",,equine4,Wednesday,12,14,20,
Equine,English Riding,Senior,,c1106,,TRUE,,Senior Champion English Pleasure Horses and Ponies,,equine4,Wednesday,13,,,
Equine,English Riding,Senior,Grand Champion,c1108,,TRUE,,Grand Champion Overall English Equitation,,equine4,Wednesday,14,,,
Equine,English Riding,Senior,,c1110,,TRUE,,Grand Champion Overall English Pleasure,,equine4,Wednesday,15,,,
Equine,English Riding,Junior,,c1114,1114,,,Saddle Seat Equitation Horse,,equine5,Wednesday,16,6,13,
Equine,English Riding,Junior,,c1115,,TRUE,,Junior Champion Saddle Seat Equitation,,equine5,Wednesday,17,,,
Equine,English Riding,Junior,,c1117,1117,,,"Hunt Seat Equitation on the Flat, Horses",,equine5,Wednesday,18,6,11,
Equine,English Riding,Junior,,c1118,1118,,,"Hunt Seat Equitation on the Flat, Horses",,equine5,Wednesday,19,12,13,
Equine,English Riding,Junior,,c1119,1119,,,"English Equitation, Horses, Walk/Trot",,equine5,Wednesday,20,5,9,
Equine,English Riding,Junior,,c1120,1120,,,"English Pleasure, Horses, Walk/Trot",,equine5,Wednesday,21,5,9,
Equine,English Riding,Junior,,c1121,,TRUE,,Junior Champuon Hunt Seat Equitation,,equine5,Wednesday,22,,,
Equine,English Riding,Junior,,c1123,1123,,,Saddle Seat Pleasure Horses,,equine5,Wednesday,23,6,13,
Equine,English Riding,Junior,,c1124,1124,,,"Hunt Seat Pleasure, Horses",,equine5,Wednesday,24,6,11,
Equine,English Riding,Junior,,c1125,1125,,,"Hunt Seat Pleasure, Horses",,equine5,Wednesday,25,12,13,
Equine,English Riding,Junior,,c1126,,TRUE,,Junior Champion English Pleasure Horse Hunt or Saddleseat,,equine5,Wednesday,26,,,
Equine,English Riding,Junior,,c1128,1128,,,"English Equitation, Horses and Ponies, Walk/Trot",,equine5,Wednesday,27,10,13,
Equine,English Riding,Junior,,c1129,1129,,,"English Pleasure, Horses and Ponies, Walk/Trot",,equine5,Wednesday,28,10,13,
